;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Radiación;HR;Presion Baro
01-01-2024 24:00;26,1;22,4;1,4;0,1;262;14,3;0,4;6,9;11,4;18,3;0;17;0;65;565
02-01-2024 24:00;29,3;20,4;1,5;0;353;15,9;0,5;14,3;17,8;32;0;16,7;0;62;564
03-01-2024 24:00;35,4;21;1,5;0;240;14,3;0,7;22,5;20,3;42,8;0;16,4;0;62;564
04-01-2024 24:00;38,5;20,9;1,2;0;100;14,8;0,6;29,6;20,3;50;0;16;0;62;565
05-01-2024 24:00;34,6;22,1;1,4;0;249;18,4;0,5;16,5;21,2;37,7;0;16,7;0;61;564
06-01-2024 24:00;25,8;16,5;1;0;293;14,8;0,4;11;16,2;27,2;0;16,8;0;52;564
07-01-2024 24:00;21;13,3;1,2;0;107;12,4;0,4;11,2;11,2;22,4;0;15,7;0;54;564
08-01-2024 24:00;23,2;14,6;1,2;0;27;13,3;0,4;11,3;13,3;24,6;0;15,8;0;58;563
09-01-2024 24:00;34,9;20,7;1,3;0;212;9,8;0,6;20,8;22,1;42,9;0;16;0;60;564
10-01-2024 24:00;44;26;1,1;0;205;13,8;0,7;27;23,7;50,7;0;16;0;61;564
11-01-2024 24:00;29,1;16,9;1,2;0,3;25;15,8;0,6;18,6;17,3;35,9;0;16,5;0;58;564
12-01-2024 24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13-01-2024 24:00;40,2;27,8;1,2;0,1;326;18,4;0,5;12,6;23,9;36,5;0;16,5;0;67;564
14-01-2024 24:00;29;20,8;1,2;0;84;18,3;0,4;9,3;15,6;24,9;0;17,1;0;60;564
15-01-2024 24:00;16,6;9,8;1,9;0;49;18,7;0,3;11,3;11,8;23,1;0;16,5;0;46;564
16-01-2024 24:00;20;9,8;1,1;0;352;17,1;0,3;14,4;12,9;27,3;0;16,1;0;45;564
17-01-2024 24:00;25,1;11,4;1;0;77;13,6;0,4;15;14,7;29,7;0;16,5;0;47;565
18-01-2024 24:00;17,7;8,1;1,1;0;320;15,6;0,3;10,6;11;21,6;0;17,2;0;49;564
19-01-2024 24:00;31,2;13,9;1,2;0;10;13;0,4;12,1;14,1;26,2;0;16,1;0;51;564
20-01-2024 24:00;17,7;9,3;0,8;0;114;14,7;0,3;8,1;9,4;17,5;0;16;0;57;564
21-01-2024 24:00;11,5;8,9;1,3;0;110;16,8;0,3;5,5;5,2;10,7;0;16,1;0;60;565
22-01-2024 24:00;14,7;9,8;1,2;0;132;18;0,3;9,3;9,6;18,9;0;16,6;0;44;565
23-01-2024 24:00;18,4;0;1,2;0;257;24,9;0,3;0;0;0;0;17,1;0;24;565
24-01-2024 24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25-01-2024 24:00;0;23,2;1,1;0;49;0;0;0;0;0;0;16,3;0;52;564
